Company,Field,Reservoir,Type,County,State,Region,Working,Total,MDD
Texas Gas Transmission Corporation,Hanson,Tar Springs,Depleted Field,Hopkins,KY,Consuming East,5587322,12087322,156000
Texas Gas Transmission Corporation,Midland,Bethel,Depleted Field,Muhlenberg,KY,Consuming East,65182677,136323530,1030000
Texas Gas Transmission Corporation,West Greenville,Bethel,Depleted Field,Muhlenberg,KY,Consuming East,4184441,8300000,85000
Transcontinental Gas Pipeline Company,Hester,--,Depleted Field,St. James,LA,--,--,--,--
Transcontinental Gas Pipeline Company,Washington,Cockfield D Sand,Depleted Field,St. James,LA,Producing,75000000,120000098,790000
Transcontinental Gas Pipeline Company,Eminence,Eminence Salt Dome,Salt Dome,Covington,MS,Producing,10048000,15025000,1198068
"Tres Palacios Gas Storage, LLC",Markham,Trull 2,Salt Dome,"MatagordaWharton",TX,Producing,36600000,53500000,1500000
"Tricor Ten Storage Hub, LLC",Ten Section,--,Depleted Field,Kern,CA,--,--,--,--
"Trunkline Gas Company, LLC",Epps,Monroe Gas Rock,Depleted Field,Caroll,LA,Producing,13000000,43000000,150000
UGI Storage Company,Meeker,Oriskany,Depleted Field,"Tioga, Potter, Cameron",PA,Consuming East,3700000,5200000,60000
"Unocal Windy Hill Gas Storage, LLC",Windy Hill,--,Salt Dome,Morgan,CO,--,--,--,--
Williston Basin Interstate Pipeline Company,Baker,Judith River,Depleted Field,Fallen,MT,Consuming West,164427000,287200000,149815
Williston Basin Interstate Pipeline Company,Billy Creek,Frontier,Depleted Field,Johnson,WY,Consuming West,542200,2943500,5000
Williston Basin Interstate Pipeline Company,Elk Basin,Cloverly,Depleted Field,Park,WY,Consuming West,28379400,63205100,134985
Wycoff Gas Storage Company,Wyckoff,Onondaga,Depleted Field,Steuben,NY,Consuming East,6117000,6966000,400000
"Young Gas Storage, LTD",Young,Dakota D Sand,Depleted Field,Morgan,CO,Consuming West,5790049,9945689,250000
